"Data Source","World Development Indicators",

"Last Updated Date","2017-10-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.09407811843763","-0.0211505922165819","-5.0080971659919","-12.782640408461","-1.12713854411271","-25.279443286065","11.0568722640362","16.0790394702773","-17.5288381838276","-8.19041880750552","12.1568361989861","4.50292748954234","12.8250637167289","9.84356335715974","0.00400191291437278","6.86997131736673","-18.6453378731727","-10.0817303223603","","","","","",
"Afghanistan","AFG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","-2.69339115744371","1.47183064886517","-5.91585360700476","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.89211424708167","-6.80822064267026","-10.4974039984877","-15.4753945192718","-28.0257014366563","-25.1912752232834","-19.5505272893058","-25.6647851380547","",
"Angola","AGO","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.9172","-4.53288","6.68712","-7.01624","-1.31648","-2.34872","-4.782726375","-12.9264301755234","-12.6653434278191","-8.37079384069655","-5.85462699374177","43.3986736530575","-11.5519926947846","-28.970021464472","-27.7983328549784","8.71506365625718","-16.012978916934","-1.20100201448587","-5.07126264836996","3.46847364608959","18.197686865535","25.5801682099161","17.5044491815283","8.54646600887273","-10.0296894390236","9.1013351872215","12.5673728090688","11.9942638615874","6.52064331976767","-2.95599463180114","-9.97729010085057","",
"Albania","ALB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","-1.46031493879967","-1.85205482198375","-0.147211039981535","0.241117497994204","-1.27469426152399","-1.68299342477915","-5.62897767731477","-14.7476228007978","-7.14635497170208","1.21328486226276","-7.92174425377968","-0.474324796860473","-3.23690172537022","-11.5357490327798","-2.40365810640546","-4.55083104953815","-4.30336207270805","-5.35367921333775","-9.18856309812929","-7.07879810332834","-4.89312405263831","-7.00462022714479","-7.46059087749616","-10.7542446955675","-15.6713527887502","-15.356912626003","-11.34859885238","-12.9459229405973","-10.2109825468233","-10.9163000655285","-12.8803201506176","-10.7286581793143","-9.57880129736132",
"Andorra","AND","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","1.27224225640204","1.9830577094419","3.19543437679079","-0.740769310943109","-6.20306739733683","-5.98905581143537","-2.7909739553226","-2.3427783479647","-3.15455411036641","-1.07672004820033","-2.57719778348358","-3.81166877221693","-1.24557455367687","-1.7028351008922","3.22032099029614","-0.341028912950146","-2.42483853719518","-3.46617829462143","-4.26485898465452","-1.9834602735093","-2.4875930110115","-4.14468006629108","-4.8443160454196","-4.21229506178187","-3.15992237703676","-1.40694788500181","8.97078467784247","6.37990680177011","1.95058324319273","2.65363142179073","3.33983981953659","2.55776336227497","1.86854095513766","2.46462152419865","-0.357978815912159","-0.843367168360124","-0.263705825113308","-2.1996745648692","-1.52582593950906","-2.87416633262021","",
"Armenia","ARM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.63799683544609","-7.89106305797658","-15.0292446654314","-20.1762883623678","-20.4782138662947","-21.9751034623031","-16.935570334329","-15.7812103252111","-10.4398165717153","-6.2201045971038","-6.18119850537564","-2.20435917633131","-2.52832414357295","-2.39537307018263","-7.3566009937396","-14.2246479360543","-16.4837117891054","-13.6219463049689","-10.4403026922799","-9.96156955685824","-7.30959177098762","-7.60681885188129","-2.65067185007904","-2.70648703016719",
"American Samoa","ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
